300015.SZ	爱尔眼科	A
688363.SH	华熙生物	A
02031.HK	澳至尊	HK
300957.SZ	贝泰妮	A
00788.HK	中國鐵塔	HK
600941.SH	中国移动	A
600050.SH	中国联通	A
00836.HK	華潤電力	HK
600023.SH	浙能电力	A
600025.SH	华能水电	A
600011.SH	华能国际	A
600803.SH	新奥股份	A
601139.SH	深圳燃气	A
00270.HK	粵海投資	HK
02380.HK	中國電力	HK
00257.HK	光大環境	HK
01798.HK	大唐新能源	HK
01816.HK	中廣核電力	HK
600036.SH	招商银行	A
601939.SH	建设银行	A
601398.SH	工商银行	A
601318.SH	中国平安	A
300059.SZ	东方财富	A
601136.SH	首创证券	A
601236.SH	红塔证券	A
600030.SH	中信证券	A
02799.HK	中信金融資產	HK
03360.HK	遠東宏信	HK
600061.SH	国投资本	A
000617.SZ	中油资本	A
02598.HK	連連數字	HK
300917.SZ	特发服务	A
001979.SZ	招商蛇口	A
600048.SH	保利发展	A
000002.SZ	万 科Ａ	A
00101.HK	恒隆地產	HK
00010.HK	恒隆集團	HK
01209.HK	華潤萬象生活	HK
02602.HK	萬物雲	HK
06098.HK	碧桂園服務	HK
600176.SH	中国巨石	A
002271.SZ	东方雨虹	A
603737.SH	三棵树	A
002080.SZ	中材科技	A
601668.SH	中国建筑	A
600170.SH	上海建工	A
600248.SH	陕建股份	A
600039.SH	四川路桥	A
601186.SH	中国铁建	A
601868.SH	中国能建	A
603296.SH	华勤技术	A
600089.SH	特变电工	A
601877.SH	正泰电器	A
300502.SZ	新易盛	A
000977.SZ	浪潮信息	A
002236.SZ	大华股份	A
603019.SH	中科曙光	A
300124.SZ	汇川技术	A
300757.SZ	罗博特科	A
300024.SZ	机器人	A
00700.HK	騰訊控股	HK
301236.SZ	软通动力	A
000938.SZ	紫光股份	A
03355.HK	飛速創新	HK
688111.SH	金山办公	A
300803.SZ	指南针	A
600570.SH	恒生电子	A
09999.HK	網易－Ｓ	HK
603444.SH	吉比特	A
688525.SH	佰维存储	A
688234.SH	天岳先进	A
000009.SZ	中国宝安	A
