rank,code,name,market,return_pct,start_date,start_price,end_date,end_price,source
44,01653.HK,MOS HOUSE,HK,380.0,2025-08-01,0.32499998807907104,2026-07-31,1.559999942779541,Yahoo Finance chart adjclose
45,002718.SZ,友邦吊顶,A,379.0990899140204,2025-07-31,16.649999618530273,2026-07-31,79.7699966430664,Yahoo Finance yfinance auto_adjust=True
46,06162.HK,天瑞汽车内饰,HK,369.56522753198095,2025-08-01,0.11500000208616257,2026-07-31,0.5400000214576721,Yahoo Finance chart adjclose
47,08431.HK,浩柏国际,HK,362.7450861228697,2025-08-01,0.2549999952316284,2026-07-31,1.1799999475479126,Yahoo Finance chart adjclose
48,02113.HK,世纪集团国际,HK,360.465098146235,2025-08-01,0.0430000014603138,2026-07-31,0.1979999989271164,Yahoo Finance chart adjclose
49,688519.SH,南亚新材,A,359.7512788949569,2025-07-31,47.41694259643555,2026-07-31,218.0,Yahoo Finance yfinance auto_adjust=True
50,02310.HK,时代环球集团,HK,358.97436264821516,2025-08-01,0.039000000804662704,2026-07-31,0.17900000512599945,Yahoo Finance chart adjclose
51,02515.HK,天津建发,HK,354.9019562011037,2025-08-01,0.5099999904632568,2026-07-31,2.319999933242798,Yahoo Finance chart adjclose
52,603115.SH,海星股份,A,352.7712312055597,2025-07-31,15.294699668884277,2026-07-31,69.25,Yahoo Finance yfinance auto_adjust=True
53,001309.SZ,德明利,A,352.0849118030731,2025-07-31,85.36006927490234,2026-07-31,385.8999938964844,Yahoo Finance yfinance auto_adjust=True
54,02270.HK,德商产投服务,HK,349.101807948119,2025-08-01,1.6699999570846558,2026-07-31,7.5,Yahoo Finance chart adjclose
55,01780.HK,荣尊国际控股,HK,347.1004441258485,2025-08-01,0.9751724004745483,2026-07-31,4.360000133514404,Yahoo Finance chart adjclose
56,001331.SZ,胜通能源,A,344.2173427578791,2025-07-31,8.761476516723633,2026-07-31,38.91999816894531,Yahoo Finance yfinance auto_adjust=True
57,688257.SH,新锐股份,A,341.25266589783,2025-07-31,11.512678146362305,2026-07-31,50.79999923706055,Yahoo Finance yfinance auto_adjust=True
58,688627.SH,精智达,A,338.08263230438183,2025-07-31,93.97770690917969,2026-07-31,411.70001220703125,Yahoo Finance yfinance auto_adjust=True
59,300475.SZ,香农芯创,A,332.1207831502395,2025-07-31,33.738250732421875,2026-07-31,145.7899932861328,Yahoo Finance yfinance auto_adjust=True
60,688485.SH,九州一轨,A,331.4720923582769,2025-07-31,11.819999694824219,2026-07-31,51.0,Yahoo Finance yfinance auto_adjust=True
61,688308.SH,欧科亿,A,330.69433296353765,2025-07-31,19.152793884277344,2026-07-31,82.48999786376953,Yahoo Finance yfinance auto_adjust=True
62,08120.HK,国农金融投资,HK,330.0000190734863,2025-08-01,0.5,2026-07-31,2.1500000953674316,Yahoo Finance chart adjclose
63,603061.SH,金海通,A,329.78007714940105,2025-07-31,61.28483581542969,2026-07-31,263.3900146484375,Yahoo Finance yfinance auto_adjust=True
64,301319.SZ,唯特偶,A,325.9557596606836,2025-07-31,20.241539001464844,2026-07-31,86.22000122070312,Yahoo Finance yfinance auto_adjust=True
65,002636.SZ,金安国纪,A,325.0262456046338,2025-07-31,11.959261894226074,2026-07-31,50.83000183105469,Yahoo Finance yfinance auto_adjust=True
66,08365.HK,亦辰集团,HK,319.9999809265137,2025-08-01,0.25,2026-07-31,1.0499999523162842,Yahoo Finance chart adjclose
67,01710.HK,致丰工业电子,HK,317.64015403204337,2025-08-01,0.15563637018203735,2026-07-31,0.6499999761581421,Yahoo Finance chart adjclose
68,300308.SZ,中际旭创,A,315.424197475963,2025-07-31,217.12986755371094,2026-07-31,902.010009765625,Yahoo Finance yfinance auto_adjust=True
69,600396.SH,华电辽能,A,314.70588194045234,2025-07-31,3.4000000953674316,2026-07-31,14.100000381469727,Yahoo Finance yfinance auto_adjust=True
70,603929.SH,亚翔集成,A,314.21452586752804,2025-07-31,35.87271499633789,2026-07-31,148.58999633789062,Yahoo Finance yfinance auto_adjust=True
71,603301.SH,振德医疗,A,312.7972650807915,2025-07-31,22.044719696044922,2026-07-31,91.0,Yahoo Finance yfinance auto_adjust=True
72,02370.HK,力高健康生活,HK,311.11110007321435,2025-08-01,0.27000001072883606,2026-07-31,1.1100000143051147,Yahoo Finance chart adjclose
73,301396.SZ,宏景科技,A,308.04613179890276,2025-07-31,38.27018356323242,2026-07-31,156.16000366210938,Yahoo Finance yfinance auto_adjust=True
74,01703.HK,维力生活科技,HK,304.16668762142507,2025-08-01,0.47999998927116394,2026-07-31,1.940000057220459,Yahoo Finance chart adjclose
75,301232.SZ,飞沃科技,A,302.01837860587926,2025-07-31,23.357141494750977,2026-07-31,93.9000015258789,Yahoo Finance yfinance auto_adjust=True
76,06696.HK,多想云,HK,297.2972999096265,2025-08-01,0.7400000095367432,2026-07-31,2.940000057220459,Yahoo Finance chart adjclose
77,688347.SH,华虹公司,A,296.36786418203314,2025-07-31,60.02000045776367,2026-07-31,237.89999389648438,Yahoo Finance yfinance auto_adjust=True
78,01473.HK,环联连讯,HK,296.0297901561944,2025-08-01,0.3181578814983368,2026-07-31,1.2599999904632568,Yahoo Finance chart adjclose
79,688361.SH,中科飞测,A,295.0307893119258,2025-07-31,87.73999786376953,2026-07-31,346.6000061035156,Yahoo Finance yfinance auto_adjust=True
80,08439.HK,新百利融资,HK,293.85788089026335,2025-08-01,0.30467844009399414,2026-07-31,1.2000000476837158,Yahoo Finance chart adjclose
81,300903.SZ,科翔股份,A,292.77917194483905,2025-07-31,11.90999984741211,2026-07-31,46.779998779296875,Yahoo Finance yfinance auto_adjust=True
82,300857.SZ,协创数据,A,292.0784387147478,2025-07-31,55.05276107788086,2026-07-31,215.85000610351562,Yahoo Finance yfinance auto_adjust=True
83,688072.SH,拓荆科技,A,290.0836631286897,2025-07-31,170.4685516357422,2026-07-31,664.969970703125,Yahoo Finance yfinance auto_adjust=True
84,301308.SZ,江波龙,A,289.4164541946673,2025-07-31,89.10511779785156,2026-07-31,346.989990234375,Yahoo Finance yfinance auto_adjust=True
85,01300.HK,俊知集团,HK,284.61539872299335,2025-08-01,0.32499998807907104,2026-07-31,1.25,Yahoo Finance chart adjclose
86,688141.SH,杰华特,A,283.17662182433344,2025-07-31,29.780000686645508,2026-07-31,114.11000061035156,Yahoo Finance yfinance auto_adjust=True
87,01410.HK,安领国际,HK,280.09048443540007,2025-08-01,0.22100000083446503,2026-07-31,0.8399999737739563,Yahoo Finance chart adjclose
88,301362.SZ,民爆光电,A,277.6990962247268,2025-07-31,29.59763526916504,2026-07-31,111.79000091552734,Yahoo Finance yfinance auto_adjust=True
89,01020.HK,赛伯乐国际控股,HK,273.68420949437945,2025-08-01,0.05700000002980232,2026-07-31,0.21299999952316284,Yahoo Finance chart adjclose
90,300620.SZ,光库科技,A,273.07871425285566,2025-07-31,55.028602600097656,2026-07-31,205.3000030517578,Yahoo Finance yfinance auto_adjust=True
91,688200.SH,华峰测控,A,272.5659725663222,2025-07-31,96.00179290771484,2026-07-31,357.6700134277344,Yahoo Finance yfinance auto_adjust=True
92,603823.SH,百合花,A,272.0404808766303,2025-07-31,12.579276084899902,2026-07-31,46.79999923706055,Yahoo Finance yfinance auto_adjust=True
93,02197.HK,三叶草生物-B,HK,270.3703556531747,2025-08-01,0.5400000214576721,2026-07-31,2.0,Yahoo Finance chart adjclose
94,603580.SH,*ST艾艾,A,265.09906143250925,2025-07-31,14.489218711853027,2026-07-31,52.900001525878906,Yahoo Finance yfinance auto_adjust=True
95,01028.HK,千百度,HK,262.3188366152481,2025-08-01,0.2070000022649765,2026-07-31,0.75,Yahoo Finance chart adjclose
96,06869.HK,长飞光纤光缆,HK,260.9522418876789,2025-08-01,26.804100036621094,2026-07-31,96.75,Yahoo Finance chart adjclose
97,688525.SH,佰维存储,A,255.72191399795327,2025-07-31,63.529964447021484,2026-07-31,225.99000549316406,Yahoo Finance yfinance auto_adjust=True
98,002969.SZ,嘉美包装,A,255.62885827088522,2025-07-31,3.489593029022217,2026-07-31,12.40999984741211,Yahoo Finance yfinance auto_adjust=True
99,000636.SZ,风华高科,A,255.0759230788127,2025-07-31,13.898435592651367,2026-07-31,49.349998474121094,Yahoo Finance yfinance auto_adjust=True
100,600105.SH,永鼎股份,A,254.88584752712953,2025-07-31,9.028255462646484,2026-07-31,32.040000915527344,Yahoo Finance yfinance auto_adjust=True
101,01429.HK,天任集团,HK,252.3809616730598,2025-08-01,0.041999999433755875,2026-07-31,0.14800000190734863,Yahoo Finance chart adjclose
102,02330.HK,中国上城,HK,252.04082431705353,2025-08-01,0.09799999743700027,2026-07-31,0.3449999988079071,Yahoo Finance chart adjclose
103,002353.SZ,杰瑞股份,A,248.64027434043706,2025-07-31,38.63581085205078,2026-07-31,134.6999969482422,Yahoo Finance yfinance auto_adjust=True
104,300489.SZ,光智科技,A,244.02546394480606,2025-07-31,40.84000015258789,2026-07-31,140.5,Yahoo Finance yfinance auto_adjust=True
105,01087.HK,威讯控股,HK,242.59258339434533,2025-08-01,0.5400000214576721,2026-07-31,1.850000023841858,Yahoo Finance chart adjclose
106,01557.HK,剑虹集团控股,HK,241.61491752484864,2025-08-01,0.16099999845027924,2026-07-31,0.550000011920929,Yahoo Finance chart adjclose
107,300408.SZ,三环集团,A,239.27286161707912,2025-07-31,32.917457580566406,2026-07-31,111.68000030517578,Yahoo Finance yfinance auto_adjust=True
108,000608.SZ,*ST阳光,A,238.88889256818806,2025-07-31,1.7999999523162842,2026-07-31,6.099999904632568,Yahoo Finance yfinance auto_adjust=True
109,300285.SZ,国瓷材料,A,238.59958916463094,2025-07-31,18.322526931762695,2026-07-31,62.040000915527344,Yahoo Finance yfinance auto_adjust=True
110,605376.SH,博迁新材,A,237.78674868579674,2025-07-31,40.34202194213867,2026-07-31,136.27000427246094,Yahoo Finance yfinance auto_adjust=True
111,603618.SH,杭电股份,A,235.6821459301842,2025-07-31,6.670000076293945,2026-07-31,22.389999389648438,Yahoo Finance yfinance auto_adjust=True
112,01348.HK,滉达富控股,HK,235.2112643540415,2025-08-01,0.07100000232458115,2026-07-31,0.23800000548362732,Yahoo Finance chart adjclose
113,01201.HK,天臣控股,HK,234.84847732264615,2025-08-01,0.6600000262260437,2026-07-31,2.2100000381469727,Yahoo Finance chart adjclose
